sisterspouse_position_1,sisterspouse_position_1_text,sisterspouse_position_1_text_ab,sisterspouse_position_1_which,sisterspouse_position_1_which_ab,sisterspouse_kid,sisterspouse_kid_howmany,positions_sisterspouse_kid,positions_sisterspouse_kid_F_ab,positions_sisterspouse_kid_M_ab,sisterspouse_kid_questions_count,PARENT_KEY,KEY
1,second,الثانية,second,الثانية,yes,3,first second third fourth fifth sixth seventh eighth ninth tenth eleventh twelfth thirteenth fourteenth fifteenth sixteenth seventeenth eighteenth nineteenth twentieth,الأولى الثانية الثالثة الرابعة الخامسة السادسة السابعة الثامنة التاسعة العاشرة الحادية_عشرة الثانية_عشرة الثالثة_عشرة الرابعة_عشرة الخامسة_عشرة السادسة_عشرة السابعة_عشرة الثامنة_عشرة التاسعة_عشرة العشرون,الأول الثاني الثالث الرابع الخامس السادس السابع الثامن التاسع العاشر الحادي_عشر الثاني_عشر الثالث_عشر الرابع_عشر الخامس_عشر السادس_عشر السابع_عشر الثامن_عشر التاسع_عشر العشرون,3,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311/survey/ifspouse/siblingsspouse/spousesisters/spousesister_kid[2]
2,third,الثالثة,third,الثالثة,yes,2,first second third fourth fifth sixth seventh eighth ninth tenth eleventh twelfth thirteenth fourteenth fifteenth sixteenth seventeenth eighteenth nineteenth twentieth,الأولى الثانية الثالثة الرابعة الخامسة السادسة السابعة الثامنة التاسعة العاشرة الحادية_عشرة الثانية_عشرة الثالثة_عشرة الرابعة_عشرة الخامسة_عشرة السادسة_عشرة السابعة_عشرة الثامنة_عشرة التاسعة_عشرة العشرون,الأول الثاني الثالث الرابع الخامس السادس السابع الثامن التاسع العاشر الحادي_عشر الثاني_عشر الثالث_عشر الرابع_عشر الخامس_عشر السادس_عشر السابع_عشر الثامن_عشر التاسع_عشر العشرون,2,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311/survey/ifspouse/siblingsspouse/spousesisters/spousesister_kid[3]
0,oldest,الأولى,oldest,الأولى,yes,3,first second third fourth fifth sixth seventh eighth ninth tenth eleventh twelfth thirteenth fourteenth fifteenth sixteenth seventeenth eighteenth nineteenth twentieth,الأولى الثانية الثالثة الرابعة الخامسة السادسة السابعة الثامنة التاسعة العاشرة الحادية_عشرة الثانية_عشرة الثالثة_عشرة الرابعة_عشرة الخامسة_عشرة السادسة_عشرة السابعة_عشرة الثامنة_عشرة التاسعة_عشرة العشرون,الأول الثاني الثالث الرابع الخامس السادس السابع الثامن التاسع العاشر الحادي_عشر الثاني_عشر الثالث_عشر الرابع_عشر الخامس_عشر السادس_عشر السابع_عشر الثامن_عشر التاسع_عشر العشرون,3,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/ifspouse/siblingsspouse/spousesisters/spousesister_kid[1]
1,second,الثانية,second,الثانية,yes,5,first second third fourth fifth sixth seventh eighth ninth tenth eleventh twelfth thirteenth fourteenth fifteenth sixteenth seventeenth eighteenth nineteenth twentieth,الأولى الثانية الثالثة الرابعة الخامسة السادسة السابعة الثامنة التاسعة العاشرة الحادية_عشرة الثانية_عشرة الثالثة_عشرة الرابعة_عشرة الخامسة_عشرة السادسة_عشرة السابعة_عشرة الثامنة_عشرة التاسعة_عشرة العشرون,الأول الثاني الثالث الرابع الخامس السادس السابع الثامن التاسع العاشر الحادي_عشر الثاني_عشر الثالث_عشر الرابع_عشر الخامس_عشر السادس_عشر السابع_عشر الثامن_عشر التاسع_عشر العشرون,5,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/ifspouse/siblingsspouse/spousesisters/spousesister_kid[2]
0,oldest,الأولى,oldest,الأولى,yes,3,first second third fourth fifth sixth seventh eighth ninth tenth eleventh twelfth thirteenth fourteenth fifteenth sixteenth seventeenth eighteenth nineteenth twentieth,الأولى الثانية الثالثة الرابعة الخامسة السادسة السابعة الثامنة التاسعة العاشرة الحادية_عشرة الثانية_عشرة الثالثة_عشرة الرابعة_عشرة الخامسة_عشرة السادسة_عشرة السابعة_عشرة الثامنة_عشرة التاسعة_عشرة العشرون,الأول الثاني الثالث الرابع الخامس السادس السابع الثامن التاسع العاشر الحادي_عشر الثاني_عشر الثالث_عشر الرابع_عشر الخامس_عشر السادس_عشر السابع_عشر الثامن_عشر التاسع_عشر العشرون,3,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/ifspouse/siblingsspouse/spousesisters/spousesister_kid[1]
1,second,الثانية,second,الثانية,yes,2,first second third fourth fifth sixth seventh eighth ninth tenth eleventh twelfth thirteenth fourteenth fifteenth sixteenth seventeenth eighteenth nineteenth twentieth,الأولى الثانية الثالثة الرابعة الخامسة السادسة السابعة الثامنة التاسعة العاشرة الحادية_عشرة الثانية_عشرة الثالثة_عشرة الرابعة_عشرة الخامسة_عشرة السادسة_عشرة السابعة_عشرة الثامنة_عشرة التاسعة_عشرة العشرون,الأول الثاني الثالث الرابع الخامس السادس السابع الثامن التاسع العاشر الحادي_عشر الثاني_عشر الثالث_عشر الرابع_عشر الخامس_عشر السادس_عشر السابع_عشر الثامن_عشر التاسع_عشر العشرون,2,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/ifspouse/siblingsspouse/spousesisters/spousesister_kid[2]
2,third,الثالثة,third,الثالثة,yes,2,first second third fourth fifth sixth seventh eighth ninth tenth eleventh twelfth thirteenth fourteenth fifteenth sixteenth seventeenth eighteenth nineteenth twentieth,الأولى الثانية الثالثة الرابعة الخامسة السادسة السابعة الثامنة التاسعة العاشرة الحادية_عشرة الثانية_عشرة الثالثة_عشرة الرابعة_عشرة الخامسة_عشرة السادسة_عشرة السابعة_عشرة الثامنة_عشرة التاسعة_عشرة العشرون,الأول الثاني الثالث الرابع الخامس السادس السابع الثامن التاسع العاشر الحادي_عشر الثاني_عشر الثالث_عشر الرابع_عشر الخامس_عشر السادس_عشر السابع_عشر الثامن_عشر التاسع_عشر العشرون,2,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/ifspouse/siblingsspouse/spousesisters/spousesister_kid[3]
0,oldest,الأولى,oldest,الأولى,yes,2,first second third fourth fifth sixth seventh eighth ninth tenth eleventh twelfth thirteenth fourteenth fifteenth sixteenth seventeenth eighteenth nineteenth twentieth,الأولى الثانية الثالثة الرابعة الخامسة السادسة السابعة الثامنة التاسعة العاشرة الحادية_عشرة الثانية_عشرة الثالثة_عشرة الرابعة_عشرة الخامسة_عشرة السادسة_عشرة السابعة_عشرة الثامنة_عشرة التاسعة_عشرة العشرون,الأول الثاني الثالث الرابع الخامس السادس السابع الثامن التاسع العاشر الحادي_عشر الثاني_عشر الثالث_عشر الرابع_عشر الخامس_عشر السادس_عشر السابع_عشر الثامن_عشر التاسع_عشر العشرون,2,uuid:5181464a-d57c-4602-9a31-2fe6cd048744,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/ifspouse/siblingsspouse/spousesisters/spousesister_kid[1]
1,second,الثانية,second,الثانية,no,,first second third fourth fifth sixth seventh eighth ninth tenth eleventh twelfth thirteenth fourteenth fifteenth sixteenth seventeenth eighteenth nineteenth twentieth,الأولى الثانية الثالثة الرابعة الخامسة السادسة السابعة الثامنة التاسعة العاشرة الحادية_عشرة الثانية_عشرة الثالثة_عشرة الرابعة_عشرة الخامسة_عشرة السادسة_عشرة السابعة_عشرة الثامنة_عشرة التاسعة_عشرة العشرون,الأول الثاني الثالث الرابع الخامس السادس السابع الثامن التاسع العاشر الحادي_عشر الثاني_عشر الثالث_عشر الرابع_عشر الخامس_عشر السادس_عشر السابع_عشر الثامن_عشر التاسع_عشر العشرون,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/ifspouse/siblingsspouse/spousesisters/spousesister_kid[2]
2,third,الثالثة,third,الثالثة,no,,first second third fourth fifth sixth seventh eighth ninth tenth eleventh twelfth thirteenth fourteenth fifteenth sixteenth seventeenth eighteenth nineteenth twentieth,الأولى الثانية الثالثة الرابعة الخامسة السادسة السابعة الثامنة التاسعة العاشرة الحادية_عشرة الثانية_عشرة الثالثة_عشرة الرابعة_عشرة الخامسة_عشرة السادسة_عشرة السابعة_عشرة الثامنة_عشرة التاسعة_عشرة العشرون,الأول الثاني الثالث الرابع الخامس السادس السابع الثامن التاسع العاشر الحادي_عشر الثاني_عشر الثالث_عشر الرابع_عشر الخامس_عشر السادس_عشر السابع_عشر الثامن_عشر التاسع_عشر العشرون,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/ifspouse/siblingsspouse/spousesisters/spousesister_kid[3]
