sister_kid_position,sister_kid_position_text,sister_kid_position_text_ab,sister_kid_position_text_F_ab,sister_kid_position_which,sister_kid_position_which_ab,sister_kid_gender,sister_kid_position_which_gender_ab,sister_kid_status,sister_kid_aliveage,sister_kid_yemendeceased,sister_kid_dieyear,sister_kid_diemonth,sister_kid_diedage,sister_kid_governorate,sister_kid_cod,PARENT_KEY,KEY
0,first,الأول,الأولى,,,female,,alive,2,,,,,,,uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/sister/sisteryour_kid[2],uuid:deb96adc-97a0-49ab-8da8-8fb6c4a0e720/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,,,male,,alive,5,,,,,,,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/sister/sisteryour_kid[1],uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,12,,,,,,,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/sister/sisteryour_kid[2],uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,10,,,,,,,uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/sister/sisteryour_kid[2],uuid:64ce779e-e3e2-40eb-bf52-cddc17a6ca4d/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,21,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,18,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,9,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,6,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[4]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,8,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[2],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,6,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[2],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,3,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[2],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,16,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,13,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,9,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,7,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[4]
4,fifth,الخامس,الخامسة,fifth,الخامس,male,الخامس,unknown,,,,,,,,uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3],uuid:09f930f2-b309-4061-a065-f54898f7c064/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[5]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,12,,,,,,,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/sister/sisteryour_kid[1],uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,8,,,,,,,uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/sister/sisteryour_kid[1],uuid:c5eeba9a-be67-4911-8ce1-4280afab883d/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,11,,,,,,,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[1],uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,8,,,,,,,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[1],uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,4,,,,,,,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[1],uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,11,,,,,,,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[2],uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,6,,,,,,,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[2],uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,4,,,,,,,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[2],uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,,,male,,alive,8,,,,,,,uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[3],uuid:ee2b1426-e304-48f2-971b-9a3a453eefd2/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,30,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[1],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,27,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[1],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,23,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[1],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,20,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[1],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[4]
4,fifth,الخامس,الخامسة,fifth,الخامس,male,الخامس,alive,16,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[1],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[5]
5,sixth,السادس,السادسة,sixth,السادس,female,السادسة,alive,15,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[1],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[6]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,24,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[3],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,22,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[3],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,20,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[3],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,18,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[3],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[4]
4,fifth,الخامس,الخامسة,fifth,الخامس,female,الخامسة,alive,13,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[3],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[5]
5,sixth,السادس,السادسة,sixth,السادس,female,السادسة,alive,5,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[3],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[6]
0,first,الأول,الأولى,,,female,,alive,17,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[5],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[5]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,12,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[6],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[6]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,9,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[6],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[6]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,5,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[6],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[6]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,0,,,,,,,uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[6],uuid:0b9a7da8-48f4-4baf-8298-5d578fc2375e/survey/siblingsyour/sister/sisteryour_kid[6]/sisteryour_kid_questions[4]
0,first,الأول,الأولى,,,female,,alive,7,,,,,,,uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311/survey/siblingsyour/sister/sisteryour_kid[2],uuid:fce84ea9-42b7-4c28-a8da-a4a95ec99311/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,16,,,,,,,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[1],uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,12,,,,,,,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[1],uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,9,,,,,,,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[1],uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,14,,,,,,,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[2],uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,10,,,,,,,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[2],uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,2,,,,,,,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[2],uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,12,,,,,,,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[3],uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,8,,,,,,,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[3],uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,1,,,,,,,uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[3],uuid:c3ebc223-e8a6-4790-93b8-fbfec11073ee/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,,,male,,alive,26,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[1],uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,,,female,,alive,19,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[2],uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,21,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[3],uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,17,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[3],uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,8,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[3],uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,21,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[4],uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[4]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,17,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[4],uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[4]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,8,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[4],uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[4]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,12,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[5],uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[5]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,8,,,,,,,uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[5],uuid:d1c02ccc-c77e-47b2-a250-748785c4ab29/survey/siblingsyour/sister/sisteryour_kid[5]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,,,female,,alive,9,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/sister/sisteryour_kid[2],uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,11,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/sister/sisteryour_kid[3],uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,10,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/sister/sisteryour_kid[3],uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,2,,,,,,,uuid:836fc528-d24d-4419-8a58-9a1fd08bddd5/survey/siblingsyour/sister/sisteryour_kid[1],uuid:836fc528-d24d-4419-8a58-9a1fd08bddd5/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,1,,,,,,,uuid:836fc528-d24d-4419-8a58-9a1fd08bddd5/survey/siblingsyour/sister/sisteryour_kid[1],uuid:836fc528-d24d-4419-8a58-9a1fd08bddd5/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,20,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[1],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,19,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[1],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,15,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[1],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,10,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[1],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[4]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,19,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[2],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,17,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[2],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,7,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[2],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,5,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[2],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[4]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,18,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/sister/sisteryour_kid[1],uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,13,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/sister/sisteryour_kid[1],uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,25,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/sister/sisteryour_kid[2],uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,20,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/sister/sisteryour_kid[2],uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,,,male,,alive,1,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/sister/sisteryour_kid[3],uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,17,,,,,,,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/sister/sisteryour_kid[1],uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,14,,,,,,,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/sister/sisteryour_kid[1],uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,10,,,,,,,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/sister/sisteryour_kid[1],uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,9,,,,,,,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/sister/sisteryour_kid[2],uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/sister/sisteryour_kid[2]/sisteryour_kid_questions[1]
