sister_kid_position,sister_kid_position_text,sister_kid_position_text_ab,sister_kid_position_text_F_ab,sister_kid_position_which,sister_kid_position_which_ab,sister_kid_gender,sister_kid_position_which_gender_ab,sister_kid_status,sister_kid_aliveage,sister_kid_yemendeceased,sister_kid_dieyear,sister_kid_diemonth,sister_kid_diedage,sister_kid_governorate,sister_kid_cod,PARENT_KEY,KEY
0,first,الأول,الأولى,first,الأول,male,الأول,alive,22,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[1],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,20,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[1],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,14,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[1],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,7,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[1],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[1]/sisteryour_kid_questions[4]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,22,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[3],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,21,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[3],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,16,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[3],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[3]/sisteryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,15,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[4],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[4]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,12,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[4],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[4]/sisteryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,19,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[5],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[5]/sisteryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,16,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[5],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[5]/sisteryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,14,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[5],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[5]/sisteryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,10,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[5],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/sister/sisteryour_kid[5]/sisteryour_kid_questions[4]
