brother_position,brother_position_text,brother_position_text_ab,brother_position_which,brother_position_which_ab,brother_status,brother_aliveage,brother_yemendeceased,brother_dieyear,brother_diemonth,brother_diedage,brother_governorate,brother_cod,PARENT_KEY,KEY
1,second,الثاني,second,الثاني,alive,29,,,,,,,uuid:485d3f6d-c326-478e-a987-d85bdbc15227,uuid:485d3f6d-c326-478e-a987-d85bdbc15227/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,oldest,الأول,alive,35,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,29,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,23,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,21,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/siblingsyour/brother/brotheryour[4]
4,fifth,الخامس,fifth,الخامس,alive,19,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/siblingsyour/brother/brotheryour[5]
5,sixth,السادس,sixth,السادس,alive,31,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/siblingsyour/brother/brotheryour[6]
0,oldest,الأول,,,alive,29,,,,,,,uuid:1dc2f4ed-ebb1-4819-b721-f04614e73037,uuid:1dc2f4ed-ebb1-4819-b721-f04614e73037/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,deceased,,yes,1974,,0,ibb,unknown,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,40,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,29,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/brother/brotheryour[3]
0,oldest,الأول,oldest,الأول,alive,43,,,,,,,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,40,,,,,,,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,oldest,الأول,alive,30,,,,,,,uuid:cf633feb-b79f-41ab-a168-c2c1894e50fe,uuid:cf633feb-b79f-41ab-a168-c2c1894e50fe/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,22,,,,,,,uuid:cf633feb-b79f-41ab-a168-c2c1894e50fe,uuid:cf633feb-b79f-41ab-a168-c2c1894e50fe/survey/siblingsyour/brother/brotheryour[2]
