brother_position,brother_position_text,brother_position_text_ab,brother_position_which,brother_position_which_ab,brother_status,brother_aliveage,brother_yemendeceased,brother_dieyear,brother_diemonth,brother_diedage,brother_governorate,brother_cod,PARENT_KEY,KEY
6,seventh,السابع,seventh,السابع,alive,35,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour[7]
0,oldest,الأول,oldest,الأول,alive,48,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,38,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,,,alive,13,,,,,,,uuid:e68dfb82-32da-4dd1-a345-7af610d861d4,uuid:e68dfb82-32da-4dd1-a345-7af610d861d4/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,36,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,36,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,oldest,الأول,alive,11,,,,,,,uuid:8fb85003-a631-40be-bb3f-8afd98bbee51,uuid:8fb85003-a631-40be-bb3f-8afd98bbee51/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,9,,,,,,,uuid:8fb85003-a631-40be-bb3f-8afd98bbee51,uuid:8fb85003-a631-40be-bb3f-8afd98bbee51/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,oldest,الأول,alive,47,,,,,,,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,41,,,,,,,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,32,,,,,,,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,30,,,,,,,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030,uuid:c04e4b82-02ac-4505-95ff-b7ecd2e0a030/survey/siblingsyour/brother/brotheryour[4]
0,oldest,الأول,,,alive,22,,,,,,,uuid:1715f4b5-fd39-4439-b837-2db9521d8fcc,uuid:1715f4b5-fd39-4439-b837-2db9521d8fcc/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,66,,,,,,,uuid:34f33746-4f58-4e51-94dd-ee85c8b64bda,uuid:34f33746-4f58-4e51-94dd-ee85c8b64bda/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,55,,,,,,,uuid:34f33746-4f58-4e51-94dd-ee85c8b64bda,uuid:34f33746-4f58-4e51-94dd-ee85c8b64bda/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,40,,,,,,,uuid:34f33746-4f58-4e51-94dd-ee85c8b64bda,uuid:34f33746-4f58-4e51-94dd-ee85c8b64bda/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,39,,,,,,,uuid:34f33746-4f58-4e51-94dd-ee85c8b64bda,uuid:34f33746-4f58-4e51-94dd-ee85c8b64bda/survey/siblingsyour/brother/brotheryour[4]
0,oldest,الأول,,,alive,30,,,,,,,uuid:0e76923f-0809-4fc4-8f9b-9c1d6dc2bb3c,uuid:0e76923f-0809-4fc4-8f9b-9c1d6dc2bb3c/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,,,alive,29,,,,,,,uuid:dda1c9d3-fe11-4602-8449-01797a0aa535,uuid:dda1c9d3-fe11-4602-8449-01797a0aa535/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,,,alive,19,,,,,,,uuid:fe38a2a3-9033-46e3-89e6-94f61bb020d7,uuid:fe38a2a3-9033-46e3-89e6-94f61bb020d7/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,,,alive,34,,,,,,,uuid:1b58c246-e405-4a8d-826e-3f4de89fafed,uuid:1b58c246-e405-4a8d-826e-3f4de89fafed/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,,,alive,14,,,,,,,uuid:61156161-91d4-4a51-937f-f51154ec6b33,uuid:61156161-91d4-4a51-937f-f51154ec6b33/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,39,,,,,,,uuid:09c97912-0103-44d7-ab37-a85a76f8184d,uuid:09c97912-0103-44d7-ab37-a85a76f8184d/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,35,,,,,,,uuid:09c97912-0103-44d7-ab37-a85a76f8184d,uuid:09c97912-0103-44d7-ab37-a85a76f8184d/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,oldest,الأول,alive,31,,,,,,,uuid:fe168b72-1366-4e1d-9803-0863f0efd9c6,uuid:fe168b72-1366-4e1d-9803-0863f0efd9c6/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,30,,,,,,,uuid:fe168b72-1366-4e1d-9803-0863f0efd9c6,uuid:fe168b72-1366-4e1d-9803-0863f0efd9c6/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,oldest,الأول,alive,42,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,39,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,36,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,27,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour[4]
4,fifth,الخامس,fifth,الخامس,alive,25,,,,,,,uuid:932fd64c-8927-4f79-b578-c522c9096d5e,uuid:932fd64c-8927-4f79-b578-c522c9096d5e/survey/siblingsyour/brother/brotheryour[5]
0,oldest,الأول,,,alive,31,,,,,,,uuid:d89736b7-ad05-494a-9c85-4ccbd523c5c6,uuid:d89736b7-ad05-494a-9c85-4ccbd523c5c6/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,,,alive,14,,,,,,,uuid:7df92b42-fcf9-4b1a-adcd-8de0f349a14e,uuid:7df92b42-fcf9-4b1a-adcd-8de0f349a14e/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,,,alive,26,,,,,,,uuid:7f174ab8-eef7-4c0b-baa6-94db39583a5b,uuid:7f174ab8-eef7-4c0b-baa6-94db39583a5b/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,18,,,,,,,uuid:071d8356-de47-4764-bcdf-79daae409d8e,uuid:071d8356-de47-4764-bcdf-79daae409d8e/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,14,,,,,,,uuid:071d8356-de47-4764-bcdf-79daae409d8e,uuid:071d8356-de47-4764-bcdf-79daae409d8e/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,,,alive,4,,,,,,,uuid:7bd6627d-c656-44ff-8d5d-0ff4f6745ee6,uuid:7bd6627d-c656-44ff-8d5d-0ff4f6745ee6/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,14,,,,,,,uuid:a1e40176-8386-4fb3-9e09-ef0f4358aa22,uuid:a1e40176-8386-4fb3-9e09-ef0f4358aa22/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,deceased,,no,2016,,1,,,uuid:a1e40176-8386-4fb3-9e09-ef0f4358aa22,uuid:a1e40176-8386-4fb3-9e09-ef0f4358aa22/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,oldest,الأول,alive,31,,,,,,,uuid:44249f53-ec72-4740-8a7e-818b15f98d31,uuid:44249f53-ec72-4740-8a7e-818b15f98d31/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,26,,,,,,,uuid:44249f53-ec72-4740-8a7e-818b15f98d31,uuid:44249f53-ec72-4740-8a7e-818b15f98d31/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,24,,,,,,,uuid:44249f53-ec72-4740-8a7e-818b15f98d31,uuid:44249f53-ec72-4740-8a7e-818b15f98d31/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,18,,,,,,,uuid:44249f53-ec72-4740-8a7e-818b15f98d31,uuid:44249f53-ec72-4740-8a7e-818b15f98d31/survey/siblingsyour/brother/brotheryour[4]
0,oldest,الأول,oldest,الأول,alive,33,,,,,,,uuid:f181c343-2478-4b69-ab2e-743df2f0347d,uuid:f181c343-2478-4b69-ab2e-743df2f0347d/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,32,,,,,,,uuid:f181c343-2478-4b69-ab2e-743df2f0347d,uuid:f181c343-2478-4b69-ab2e-743df2f0347d/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,14,,,,,,,uuid:f181c343-2478-4b69-ab2e-743df2f0347d,uuid:f181c343-2478-4b69-ab2e-743df2f0347d/survey/siblingsyour/brother/brotheryour[3]
0,oldest,الأول,oldest,الأول,alive,29,,,,,,,uuid:2d08ccf5-9ffb-4822-aab6-eef438c3dd95,uuid:2d08ccf5-9ffb-4822-aab6-eef438c3dd95/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,24,,,,,,,uuid:2d08ccf5-9ffb-4822-aab6-eef438c3dd95,uuid:2d08ccf5-9ffb-4822-aab6-eef438c3dd95/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,13,,,,,,,uuid:2d08ccf5-9ffb-4822-aab6-eef438c3dd95,uuid:2d08ccf5-9ffb-4822-aab6-eef438c3dd95/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,5,,,,,,,uuid:2d08ccf5-9ffb-4822-aab6-eef438c3dd95,uuid:2d08ccf5-9ffb-4822-aab6-eef438c3dd95/survey/siblingsyour/brother/brotheryour[4]
0,oldest,الأول,oldest,الأول,alive,39,,,,,,,uuid:e3da7454-f609-4503-b800-6a8830fc65e0,uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,29,,,,,,,uuid:e3da7454-f609-4503-b800-6a8830fc65e0,uuid:e3da7454-f609-4503-b800-6a8830fc65e0/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,,,alive,23,,,,,,,uuid:8d891139-6a98-4395-84ad-d0f55dfb3502,uuid:8d891139-6a98-4395-84ad-d0f55dfb3502/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,27,,,,,,,uuid:d80497c8-1231-4a9e-a2cc-e13a81d309df,uuid:d80497c8-1231-4a9e-a2cc-e13a81d309df/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,21,,,,,,,uuid:d80497c8-1231-4a9e-a2cc-e13a81d309df,uuid:d80497c8-1231-4a9e-a2cc-e13a81d309df/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,oldest,الأول,alive,67,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,58,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour[2]
2,third,الثالث,third,الثالث,alive,47,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour[3]
3,fourth,الرابع,fourth,الرابع,alive,46,,,,,,,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280,uuid:aa7b20e6-fab7-43db-ae65-3642c93b3280/survey/siblingsyour/brother/brotheryour[4]
0,oldest,الأول,oldest,الأول,alive,38,,,,,,,uuid:26237cff-102b-4df7-b162-03aff8615925,uuid:26237cff-102b-4df7-b162-03aff8615925/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,34,,,,,,,uuid:26237cff-102b-4df7-b162-03aff8615925,uuid:26237cff-102b-4df7-b162-03aff8615925/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,,,alive,21,,,,,,,uuid:aa2ebbd1-dcd1-41f8-9b5d-d8517b9fef46,uuid:aa2ebbd1-dcd1-41f8-9b5d-d8517b9fef46/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,oldest,الأول,alive,31,,,,,,,uuid:49fb5af5-29dc-404a-a403-3aadd4ae4510,uuid:49fb5af5-29dc-404a-a403-3aadd4ae4510/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,24,,,,,,,uuid:49fb5af5-29dc-404a-a403-3aadd4ae4510,uuid:49fb5af5-29dc-404a-a403-3aadd4ae4510/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,oldest,الأول,alive,51,,,,,,,uuid:431737a6-830c-44ff-abaf-370d849bcee3,uuid:431737a6-830c-44ff-abaf-370d849bcee3/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,45,,,,,,,uuid:431737a6-830c-44ff-abaf-370d849bcee3,uuid:431737a6-830c-44ff-abaf-370d849bcee3/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,oldest,الأول,alive,51,,,,,,,uuid:a5632601-e3d9-41ab-b1ee-ae2250cfa4a4,uuid:a5632601-e3d9-41ab-b1ee-ae2250cfa4a4/survey/siblingsyour/brother/brotheryour[1]
1,second,الثاني,second,الثاني,alive,37,,,,,,,uuid:a5632601-e3d9-41ab-b1ee-ae2250cfa4a4,uuid:a5632601-e3d9-41ab-b1ee-ae2250cfa4a4/survey/siblingsyour/brother/brotheryour[2]
0,oldest,الأول,,,alive,57,,,,,,,uuid:b1313f0c-b75a-4f0d-a16b-500fe80bd88e,uuid:b1313f0c-b75a-4f0d-a16b-500fe80bd88e/survey/siblingsyour/brother/brotheryour[1]
0,oldest,الأول,,,alive,38,,,,,,,uuid:033c8225-e861-4d68-b9d3-27f574f96a14,uuid:033c8225-e861-4d68-b9d3-27f574f96a14/survey/siblingsyour/brother/brotheryour[1]
