brother_kid_position,brother_kid_position_text,brother_kid_position_text_ab,brother_kid_position_text_F_ab,brother_kid_position_which,brother_kid_position_which_ab,brother_kid_gender,brother_kid_position_which_gender_ab,brother_kid_status,brother_kid_aliveage,brother_kid_yemendeceased,brother_kid_dieyear,brother_kid_diemonth,brother_kid_diedage,brother_kid_governorate,brother_kid_cod,PARENT_KEY,KEY
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,11,,,,,,,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/siblingsyour/brother/brotheryour_kid[1],uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,2,,,,,,,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/siblingsyour/brother/brotheryour_kid[1],uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,5,,,,,,,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/siblingsyour/brother/brotheryour_kid[2],uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,1,,,,,,,uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/siblingsyour/brother/brotheryour_kid[2],uuid:fc1ff5ad-bf52-47bd-a01d-8a8aab4634e1/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,7,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[4],uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[4]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,5,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[4],uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[4]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,0,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[6],uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[6]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,0,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[6],uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[6]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,7,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[7],uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[7]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,deceased,,yes,2016,,0,sanaa_city,other,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[7],uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[7]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,2,,,,,,,uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[7],uuid:bde79937-de35-489e-a142-1336ada8ddfc/survey/siblingsyour/brother/brotheryour_kid[7]/brotheryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,19,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour_kid[1],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,16,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour_kid[1],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,10,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour_kid[1],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,7,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour_kid[2],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,6,,,,,,,uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour_kid[2],uuid:677c453a-550f-4072-bc30-37f42ac6963f/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,9,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/brother/brotheryour_kid[1],uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,5,,,,,,,uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/brother/brotheryour_kid[1],uuid:5181464a-d57c-4602-9a31-2fe6cd048744/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
