brother_kid_position,brother_kid_position_text,brother_kid_position_text_ab,brother_kid_position_text_F_ab,brother_kid_position_which,brother_kid_position_which_ab,brother_kid_gender,brother_kid_position_which_gender_ab,brother_kid_status,brother_kid_aliveage,brother_kid_yemendeceased,brother_kid_dieyear,brother_kid_diemonth,brother_kid_diedage,brother_kid_governorate,brother_kid_cod,PARENT_KEY,KEY
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,13,,,,,,,uuid:431737a6-830c-44ff-abaf-370d849bcee3/survey/siblingsyour/brother/brotheryour_kid[2],uuid:431737a6-830c-44ff-abaf-370d849bcee3/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,21,,,,,,,uuid:a5632601-e3d9-41ab-b1ee-ae2250cfa4a4/survey/siblingsyour/brother/brotheryour_kid[1],uuid:a5632601-e3d9-41ab-b1ee-ae2250cfa4a4/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,19,,,,,,,uuid:a5632601-e3d9-41ab-b1ee-ae2250cfa4a4/survey/siblingsyour/brother/brotheryour_kid[1],uuid:a5632601-e3d9-41ab-b1ee-ae2250cfa4a4/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,20,,,,,,,uuid:b1313f0c-b75a-4f0d-a16b-500fe80bd88e/survey/siblingsyour/brother/brotheryour_kid[1],uuid:b1313f0c-b75a-4f0d-a16b-500fe80bd88e/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,18,,,,,,,uuid:b1313f0c-b75a-4f0d-a16b-500fe80bd88e/survey/siblingsyour/brother/brotheryour_kid[1],uuid:b1313f0c-b75a-4f0d-a16b-500fe80bd88e/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,16,,,,,,,uuid:b1313f0c-b75a-4f0d-a16b-500fe80bd88e/survey/siblingsyour/brother/brotheryour_kid[1],uuid:b1313f0c-b75a-4f0d-a16b-500fe80bd88e/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,8,,,,,,,uuid:b1313f0c-b75a-4f0d-a16b-500fe80bd88e/survey/siblingsyour/brother/brotheryour_kid[1],uuid:b1313f0c-b75a-4f0d-a16b-500fe80bd88e/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[4]
0,first,الأول,الأولى,,,male,,unknown,,,,,,,,uuid:033c8225-e861-4d68-b9d3-27f574f96a14/survey/siblingsyour/brother/brotheryour_kid[1],uuid:033c8225-e861-4d68-b9d3-27f574f96a14/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,12,,,,,,,uuid:815730e3-7c41-44e5-84b6-ea697506b494/survey/siblingsyour/brother/brotheryour_kid[1],uuid:815730e3-7c41-44e5-84b6-ea697506b494/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,9,,,,,,,uuid:815730e3-7c41-44e5-84b6-ea697506b494/survey/siblingsyour/brother/brotheryour_kid[1],uuid:815730e3-7c41-44e5-84b6-ea697506b494/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,1,,,,,,,uuid:815730e3-7c41-44e5-84b6-ea697506b494/survey/siblingsyour/brother/brotheryour_kid[1],uuid:815730e3-7c41-44e5-84b6-ea697506b494/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
0,first,الأول,الأولى,,,male,,alive,0,,,,,,,uuid:d7d06a4a-c80d-4c11-853c-9dff48421856/survey/siblingsyour/brother/brotheryour_kid[1],uuid:d7d06a4a-c80d-4c11-853c-9dff48421856/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,22,,,,,,,uuid:7fb72d12-347f-494d-890e-d34efea88964/survey/siblingsyour/brother/brotheryour_kid[1],uuid:7fb72d12-347f-494d-890e-d34efea88964/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,18,,,,,,,uuid:7fb72d12-347f-494d-890e-d34efea88964/survey/siblingsyour/brother/brotheryour_kid[1],uuid:7fb72d12-347f-494d-890e-d34efea88964/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,15,,,,,,,uuid:7fb72d12-347f-494d-890e-d34efea88964/survey/siblingsyour/brother/brotheryour_kid[1],uuid:7fb72d12-347f-494d-890e-d34efea88964/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,15,,,,,,,uuid:7fb72d12-347f-494d-890e-d34efea88964/survey/siblingsyour/brother/brotheryour_kid[2],uuid:7fb72d12-347f-494d-890e-d34efea88964/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,12,,,,,,,uuid:7fb72d12-347f-494d-890e-d34efea88964/survey/siblingsyour/brother/brotheryour_kid[2],uuid:7fb72d12-347f-494d-890e-d34efea88964/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,21,,,,,,,uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[1],uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,17,,,,,,,uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[1],uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,14,,,,,,,uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[1],uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,22,,,,,,,uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[2],uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,19,,,,,,,uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[2],uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,18,,,,,,,uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[2],uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,14,,,,,,,uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[2],uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[4]
4,fifth,الخامس,الخامسة,fifth,الخامس,male,الخامس,alive,5,,,,,,,uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[2],uuid:8eea0741-2fcb-4c78-a743-06cc8c1a7396/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[5]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,30,,,,,,,uuid:e76183e2-bbe1-4d97-9a5f-1b7e2580c5b9/survey/siblingsyour/brother/brotheryour_kid[1],uuid:e76183e2-bbe1-4d97-9a5f-1b7e2580c5b9/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,28,,,,,,,uuid:e76183e2-bbe1-4d97-9a5f-1b7e2580c5b9/survey/siblingsyour/brother/brotheryour_kid[1],uuid:e76183e2-bbe1-4d97-9a5f-1b7e2580c5b9/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,21,,,,,,,uuid:e76183e2-bbe1-4d97-9a5f-1b7e2580c5b9/survey/siblingsyour/brother/brotheryour_kid[1],uuid:e76183e2-bbe1-4d97-9a5f-1b7e2580c5b9/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,13,,,,,,,uuid:e76183e2-bbe1-4d97-9a5f-1b7e2580c5b9/survey/siblingsyour/brother/brotheryour_kid[1],uuid:e76183e2-bbe1-4d97-9a5f-1b7e2580c5b9/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[4]
4,fifth,الخامس,الخامسة,fifth,الخامس,male,الخامس,alive,4,,,,,,,uuid:e76183e2-bbe1-4d97-9a5f-1b7e2580c5b9/survey/siblingsyour/brother/brotheryour_kid[1],uuid:e76183e2-bbe1-4d97-9a5f-1b7e2580c5b9/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[5]
5,sixth,السادس,السادسة,sixth,السادس,male,السادس,alive,1,,,,,,,uuid:e76183e2-bbe1-4d97-9a5f-1b7e2580c5b9/survey/siblingsyour/brother/brotheryour_kid[1],uuid:e76183e2-bbe1-4d97-9a5f-1b7e2580c5b9/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[6]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,20,,,,,,,uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[1],uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,18,,,,,,,uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[1],uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,16,,,,,,,uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[1],uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,30,,,,,,,uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[2],uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,28,,,,,,,uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[2],uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,26,,,,,,,uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[2],uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,24,,,,,,,uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[2],uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[4]
4,fifth,الخامس,الخامسة,fifth,الخامس,male,الخامس,alive,11,,,,,,,uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[2],uuid:feda2c47-36fc-4489-87ab-f567b088f8e9/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[5]
0,first,الأول,الأولى,,,male,,alive,1,,,,,,,uuid:88ae2d27-06d1-4b65-b115-20930e5e5713/survey/siblingsyour/brother/brotheryour_kid[1],uuid:88ae2d27-06d1-4b65-b115-20930e5e5713/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,14,,,,,,,uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[1],uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,12,,,,,,,uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[1],uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,10,,,,,,,uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[1],uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,male,الرابع,alive,7,,,,,,,uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[1],uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[4]
0,first,الأول,الأولى,,,male,,alive,0,,,,,,,uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[2],uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,15,,,,,,,uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[3],uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[3]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,8,,,,,,,uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[3],uuid:4ee18826-e57b-4c21-9c5d-3e6b3173b890/survey/siblingsyour/brother/brotheryour_kid[3]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,,,male,,alive,6,,,,,,,uuid:56b96d89-497d-4686-bf0e-bf2c4cc74dcb/survey/siblingsyour/brother/brotheryour_kid[1],uuid:56b96d89-497d-4686-bf0e-bf2c4cc74dcb/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,,,male,,alive,1,,,,,,,uuid:485d3f6d-c326-478e-a987-d85bdbc15227/survey/siblingsyour/brother/brotheryour_kid[2],uuid:485d3f6d-c326-478e-a987-d85bdbc15227/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,3,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/siblingsyour/brother/brotheryour_kid[1],uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,1,,,,,,,uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/siblingsyour/brother/brotheryour_kid[1],uuid:cbc77873-3922-497b-930a-e9d16fe31822/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,8,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/brother/brotheryour_kid[2],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,6,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/brother/brotheryour_kid[2],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,0,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/brother/brotheryour_kid[2],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[3]
0,first,الأول,الأولى,,,male,,alive,2,,,,,,,uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/brother/brotheryour_kid[3],uuid:e4d3ed23-1803-4ad9-9d5c-f0edc837735c/survey/siblingsyour/brother/brotheryour_kid[3]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,17,,,,,,,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/brother/brotheryour_kid[1],uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,11,,,,,,,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/brother/brotheryour_kid[1],uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,13,,,,,,,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/brother/brotheryour_kid[2],uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,11,,,,,,,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/brother/brotheryour_kid[2],uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,6,,,,,,,uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/brother/brotheryour_kid[2],uuid:7132c1fd-33d8-4303-97eb-c86b3ac20408/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[3]
0,first,الأول,الأولى,,,male,,alive,2,,,,,,,uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/brother/brotheryour_kid[2],uuid:1c7922ec-847a-433a-b8f2-8a2c071e44c4/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,6,,,,,,,uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/siblingsyour/brother/brotheryour_kid[1],uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,4,,,,,,,uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/siblingsyour/brother/brotheryour_kid[1],uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,,,female,,alive,2,,,,,,,uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/siblingsyour/brother/brotheryour_kid[2],uuid:481eab0b-e62b-492b-a18d-007cc083fe20/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,7,,,,,,,uuid:85734498-203d-4d22-a2f3-c2825e311bd8/survey/siblingsyour/brother/brotheryour_kid[2],uuid:85734498-203d-4d22-a2f3-c2825e311bd8/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,0,,,,,,,uuid:85734498-203d-4d22-a2f3-c2825e311bd8/survey/siblingsyour/brother/brotheryour_kid[2],uuid:85734498-203d-4d22-a2f3-c2825e311bd8/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,21,,,,,,,uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour_kid[1],uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,19,,,,,,,uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour_kid[1],uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,12,,,,,,,uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour_kid[1],uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,5,,,,,,,uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour_kid[1],uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[4]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,15,,,,,,,uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour_kid[2],uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,8,,,,,,,uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour_kid[2],uuid:41679e76-a1c1-498b-bfed-63756649aaef/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,21,,,,,,,uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/brother/brotheryour_kid[1],uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,16,,,,,,,uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/brother/brotheryour_kid[1],uuid:533ce06e-44bc-450f-800a-8736c64b352a/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
0,first,الأول,الأولى,first,الأول,male,الأول,alive,22,,,,,,,uuid:7ad06704-8558-408f-b6cf-a5c019d69bee/survey/siblingsyour/brother/brotheryour_kid[1],uuid:7ad06704-8558-408f-b6cf-a5c019d69bee/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,16,,,,,,,uuid:7ad06704-8558-408f-b6cf-a5c019d69bee/survey/siblingsyour/brother/brotheryour_kid[1],uuid:7ad06704-8558-408f-b6cf-a5c019d69bee/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,8,,,,,,,uuid:7ad06704-8558-408f-b6cf-a5c019d69bee/survey/siblingsyour/brother/brotheryour_kid[1],uuid:7ad06704-8558-408f-b6cf-a5c019d69bee/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,15,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[1],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,male,الثاني,alive,13,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[1],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,male,الثالث,alive,9,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[1],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[3]
3,fourth,الرابع,الرابعة,fourth,الرابع,female,الرابعة,alive,3,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[1],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[1]/brotheryour_kid_questions[4]
0,first,الأول,الأولى,first,الأول,female,الأولى,alive,11,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[2],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[1]
1,second,الثاني,الثانية,second,الثاني,female,الثانية,alive,8,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[2],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[2]
2,third,الثالث,الثالثة,third,الثالث,female,الثالثة,alive,5,,,,,,,uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[2],uuid:f719c86e-3590-4721-b100-5f146d29e29b/survey/siblingsyour/brother/brotheryour_kid[2]/brotheryour_kid_questions[3]
